COE,GVA,WAGESHARE,NUMBER,GROWTH
2598,8697,0.3,1,0.174083017
156,267,0.58,2,-0.355805243
52,418,0.12,3,0.471291866
530,1124,0.47,4,-0.888790036
1216,13653,0.09,5,0.357503845
922,1685,0.55,6,0.697922849
142,1559,0.09,7,0.466324567
1999,2618,0.76,8,0.41329259
1275,1852,0.69,9,0.620950324
103,283,0.36,10,0.06360424
1091,1696,0.64,11,-0.271816038
425,671,0.63,12,0.810730253
2062,2793,0.74,13,0.365914787
2593,4462,0.58,14,0.396907216
662,1071,0.62,15,-0.169934641
1439,4242,0.34,16,0.196841113
210,842,0.25,17,0.394299287
2877,4062,0.71,18,-0.282619399
2271,3618,0.63,19,-0.308457711
478,777,0.62,20,-0.305019305
1335,2083,0.64,21,0.239078253
2671,4189,0.64,22,0.01551683
3292,5653,0.58,23,-0.183088626
1468,2152,0.68,24,-0.045539033
694,1134,0.61,25,0.245149912
1011,1790,0.56,26,0.432960894
1078,1854,0.58,27,-0.087918015
643,1159,0.55,28,0.14322692
2065,4086,0.51,29,-0.505628977
526,867,0.61,30,-0.066897347
2119,6337,0.33,31,1.021461259
4552,7976,0.57,32,0.026830491
1213,2117,0.57,33,-0.087860179
2040,3090,0.66,34,-0.154692557
1908,2807,0.68,35,-0.466334165
1662,2503,0.66,36,-0.264482621
345,718,0.48,37,1.725626741
8216,11307,0.73,38,0.281949235
6027,10742,0.56,39,-0.196611432
3629,5482,0.66,40,-0.156512222
7057,11092,0.64,41,0.121258565
7206,9445,0.76,42,0.442668078
716,907,0.79,43,0.76185226
2794,5118,0.55,44,0.127784291
262,449,0.58,45,2.020044543
1978,2971,0.67,46,0.498485358
1761,2971,0.59,47,0.670144732
217,253,0.86,48,0.577075099
588,578,1.02,49,2.283737024
2215,3811,0.58,50,0.060614012
2747,9887,0.28,51,0.802467887
1463,3114,0.47,52,1.244701349
701,2877,0.24,53,0.782759819
543,2757,0.2,54,0.709104099
280,2395,0.12,55,1.865553236
25,22,1.14,56,5.545454545
21551,44926,0.48,57,1.153674932
7513,13249,0.57,58,1.276171787
19586,37447,0.52,59,0.514460437
23566,48415,0.49,60,0.872167717
1952,2083,0.94,61,1.486317811
10085,15026,0.67,62,0.654731798
1450,1957,0.74,63,2.657639244
2375,5263,0.45,64,0.646779403
6767,9741,0.69,65,0.819731034
4944,6420,0.77,66,0.62305296
3463,5430,0.64,67,1.360957643
9696,15240,0.64,68,1.23996063
5132,9460,0.54,69,0.212156448
3019,7770,0.39,70,0.84980695
7241,13451,0.54,71,1.162961862
7760,10845,0.72,72,2.761917935
967,1706,0.57,73,2.339390387
16664,29663,0.56,74,1.184607086
4966,15219,0.33,75,1.365661344
4623,6248,0.74,76,2.376920615
5320,15511,0.34,77,2.037908581
0,98453,0,78,0.517455029
1438,2640,0.54,79,2.306818182
3607,7877,0.46,80,1.915323093
3484,6723,0.52,81,1.497545739
3081,5265,0.59,82,2.802849003
7872,12679,0.62,83,1.114046849
2131,5759,0.37,84,0.532384094
1717,4055,0.42,85,1.805918619
2187,3103,0.7,86,2.255559136
742,922,0.8,87,2.054229935
3849,7066,0.54,88,1.188932918
4028,6450,0.62,89,1.564341085
2884,3941,0.73,90,1.669880741
659,1180,0.56,91,1.819491525
1872,3714,0.5,92,1.665858912
4261,6285,0.68,93,2.301988862
34104,43267,0.79,94,0.879608015
37865,43377,0.87,95,1.277497291
25206,34853,0.72,96,1.55361088
10063,14733,0.68,97,1.017986832
740,1620,0.46,98,2.015432099
1393,1477,0.94,99,1.240352065
1128,5347,0.21,100,0.909855994
681,1863,0.37,101,1.377885132
4584,5335,0.86,102,1.810871603
530,981,0.54,103,1.79714577
1489,6823,0.22,104,1.452879965
3100,3405,0.91,105,0.928340675
